backend,V,nlev,N_e,cell_dist,layout,schedule,run_id,time_ms
cpu,2,256,163840,uniform,V2,collapse2,52,0.471533
cpu,2,256,163840,uniform,V2,collapse2,53,0.467123
cpu,2,256,163840,uniform,V2,collapse2,54,0.467503
cpu,2,256,163840,uniform,V2,collapse2,55,0.466183
cpu,2,256,163840,uniform,V2,collapse2,56,0.467974
cpu,2,256,163840,uniform,V2,collapse2,57,0.466863
cpu,2,256,163840,uniform,V2,collapse2,58,0.464793
cpu,2,256,163840,uniform,V2,collapse2,59,0.467883
cpu,2,256,163840,uniform,V2,collapse2,60,0.496433
cpu,2,256,163840,uniform,V2,collapse2,61,0.463003
cpu,2,256,163840,uniform,V2,collapse2,62,0.464193
cpu,2,256,163840,uniform,V2,collapse2,63,0.465353
cpu,2,256,163840,uniform,V2,collapse2,64,0.465753
cpu,2,256,163840,uniform,V2,collapse2,65,0.538094
cpu,2,256,163840,uniform,V2,collapse2,66,0.465903
cpu,2,256,163840,uniform,V2,collapse2,67,0.465473
cpu,2,256,163840,uniform,V2,collapse2,68,0.465513
cpu,2,256,163840,uniform,V2,collapse2,69,0.467722
cpu,2,256,163840,uniform,V2,collapse2,70,0.462453
cpu,2,256,163840,uniform,V2,collapse2,71,0.513563
cpu,2,256,163840,uniform,V2,collapse2,72,0.463143
cpu,2,256,163840,uniform,V2,collapse2,73,0.465593
cpu,2,256,163840,uniform,V2,collapse2,74,0.463143
cpu,2,256,163840,uniform,V2,collapse2,75,0.482953
cpu,2,256,163840,uniform,V2,collapse2,76,0.465303
cpu,2,256,163840,uniform,V2,collapse2,77,0.464593
cpu,2,256,163840,uniform,V2,collapse2,78,0.466053
cpu,2,256,163840,uniform,V2,collapse2,79,0.536094
cpu,2,256,163840,uniform,V2,collapse2,80,0.464933
cpu,2,256,163840,uniform,V2,collapse2,81,0.465833
cpu,2,256,163840,uniform,V2,collapse2,82,0.463333
cpu,2,256,163840,uniform,V2,collapse2,83,0.465483
cpu,2,256,163840,uniform,V2,collapse2,84,0.464053
cpu,2,256,163840,uniform,V2,collapse2,85,0.465853
cpu,2,256,163840,uniform,V2,collapse2,86,0.467323
cpu,2,256,163840,uniform,V2,collapse2,87,0.462853
cpu,2,256,163840,uniform,V2,collapse2,88,0.468003
cpu,2,256,163840,uniform,V2,collapse2,89,0.471713
cpu,2,256,163840,uniform,V2,collapse2,90,0.509063
cpu,2,256,163840,uniform,V2,collapse2,91,0.467883
cpu,2,256,163840,uniform,V2,collapse2,92,0.465913
cpu,2,256,163840,uniform,V2,collapse2,93,0.469213
