nlev,variant,cell_dist,schedule,target,block_bytes,vector_width,mu,mu_delta,mu_delta_numa,delta_max,delta_min,beta,alpha,gamma,P_NUMA,T
90,2,exact,omp_for,gpu_wave64,128,64,39.207813,412.231201,488.029534,51.236823,12.011332,1,0.0120,1.8000,4,172800
90,2,exact,omp_collapse2,cpu_scalar,64,1,1.802434,51.310034,52.262789,66.621167,39.284352,1,0.0120,1.8000,4,11059200
90,2,exact,omp_collapse2,cpu_avx512,64,8,10.509447,156.558304,163.303808,48.394106,13.985389,1,0.0120,1.8000,4,1382400
90,2,exact,omp_collapse2,gpu_scalar,128,1,1.011410,25.614031,26.090178,30.747246,21.541659,1,0.0120,1.8000,4,11059200
90,2,exact,omp_collapse2,gpu_warp32,128,32,20.005231,187.404138,208.977821,40.813235,9.671156,1,0.0120,1.8000,4,345600
90,2,exact,omp_collapse2,gpu_wave64,128,64,39.207882,414.455706,492.643391,51.288179,12.120796,1,0.0120,1.8000,4,172800
90,3,exact,omp_for,cpu_scalar,64,1,0.901681,50.467808,68.166682,985.057419,23.869101,1,0.0120,1.8000,4,11059200
90,3,exact,omp_for,cpu_avx512,64,8,7.315813,705.008223,956.106968,1946.707625,95.797967,1,0.0120,1.8000,4,1351680
90,3,exact,omp_for,gpu_scalar,128,1,0.464488,25.233697,34.083009,326.155178,13.684107,1,0.0120,1.8000,4,11059200
90,3,exact,omp_for,gpu_warp32,128,32,16.573547,3214.087561,4344.286724,1055.908734,221.412469,1,0.0120,1.8000,4,245760
90,3,exact,omp_for,gpu_wave64,128,64,27.036906,10893.477645,14710.471818,1075.634468,497.591641,1,0.0120,1.8000,4,122880
90,3,exact,omp_collapse2,cpu_scalar,64,1,6.097404,4555.183566,5118.369944,2191.106943,821.829854,1,0.0120,1.8000,4,11059200
