nlev,variant,blocking,cell_dist,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,3,0,normal_var1,omp_collapse2,cpu_scalar,64,1,6.923684,58203.952125,65516.226650,128473.054125,402985.753299,453613.628870,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,exact,omp_collapse2,gpu_warp32,128,32,146.230312,375.454625,474.757998,4564.241211,54902.847038,69424.010560,0.000000,1,0.0120,1.8000,4,345600
90,4,0,sequential,omp_collapse2,cpu_avx512,64,8,52.998340,8713.968401,9807.907433,192924.903416,461825.858719,519802.811300,0.000000,1,0.0120,1.8000,4,921600
90,1,0,normal_var4,omp_for,cpu_avx512,64,8,24.966016,205.202007,205.398123,4949.007859,5123.076510,5127.972759,0.000000,1,0.0120,1.8000,4,921600
90,1,0,exact,omp_for,gpu_scalar,128,1,1.011410,21.408071,21.440519,76.867057,21.652327,21.685145,0.000000,1,0.0120,1.8000,4,11059200
90,2,0,uniform,omp_for,gpu_scalar,128,1,4.497852,1023.145366,1023.175913,2248.404169,4601.955983,4602.093379,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,uniform,omp_collapse2,cpu_scalar,64,1,4.998914,1955.808142,1973.254783,4299.736473,9776.915868,9864.130118,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,sequential,omp_collapse2,gpu_warp32,128,32,80.851189,32.966107,33.510297,2925.882904,2665.348926,2709.347393,0.000000,1,0.0120,1.8000,4,230400
90,3,0,exact,omp_for,cpu_scalar,64,1,0.901681,17.736746,23.869101,985.057419,15.992856,21.522333,0.000000,1,0.0120,1.8000,4,11059200
90,3,0,exact,omp_collapse2,gpu_scalar,128,1,5.784904,373.726691,474.961799,1082.801647,2161.973100,2747.608540,0.000000,1,0.0120,1.8000,4,11059200
90,4,0,normal_var1,omp_collapse2,gpu_scalar,128,1,6.611183,29889.484216,37880.515491,65933.995232,197604.845856,250435.014919,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,normal_var1,omp_for,gpu_scalar,128,1,2.584814,989.019920,989.047604,2206.442307,2556.432985,2556.504542,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,uniform,omp_collapse2,gpu_warp32,128,32,141.650417,36.947496,37.392011,3410.087095,5233.628182,5296.593918,0.000000,1,0.0120,1.8000,4,230400
90,2,0,sequential,omp_for,gpu_scalar,128,1,2.561829,992.660093,992.695118,2180.117378,2543.025031,2543.114758,0.000000,1,0.0120,1.8000,4,7372800
90,2,0,normal_var4,omp_collapse2,cpu_avx512,64,8,24.966020,203.933511,205.970138,4539.808484,5091.408098,5142.254581,0.000000,1,0.0120,1.8000,4,921600
90,3,0,uniform,omp_for,gpu_scalar,128,1,0.479835,994.578991,1590.626795,30418.664143,477.233372,763.240105,0.000000,1,0.0120,1.8000,4,7372800
90,3,0,normal_var1,omp_collapse2,gpu_warp32,128,32,198.907895,1304.167635,1651.682662,109230.749700,259409.238953,328532.722011,0.000000,1,0.0120,1.8000,4,230400
90,4,0,exact,omp_for,cpu_avx512,64,8,7.315813,70.879592,95.568270,1935.968438,518.552133,699.169790,0.000000,1,0.0120,1.8000,4,1351680
90,4,0,normal_var4,omp_collapse2,gpu_scalar,128,1,6.783777,29057.367616,36821.923174,64053.754929,197118.697738,249791.708719,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,uniform,omp_for,gpu_scalar,128,1,4.497852,1023.767144,1023.792376,2272.695994,4604.752649,4604.866139,0.000000,1,0.0120,1.8000,4,7372800
90,1,0,normal_var1,omp_collapse2,gpu_warp32,128,32,80.873455,32.727621,33.211105,3052.631166,2646.795782,2685.896806,0.000000,1,0.0120,1.8000,4,230400
90,2,0,uniform,omp_for,gpu_warp32,128,32,141.650391,36.981133,37.125902,3337.869960,5238.391980,5258.898496,0.000000,1,0.0120,1.8000,4,230400
90,2,0,sequential,omp_collapse2,cpu_avx512,64,8,24.969533,204.600851,206.651145,4539.585266,5108.787791,5159.982672,0.000000,1,0.0120,1.8000,4,921600
