backend,variant,nlev,N_e,N_c,N_v,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,67,0.331202
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,68,0.320241
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,69,0.323562
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,70,0.262481
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,71,0.263482
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,72,0.262081
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,73,0.261522
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,74,0.262561
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,75,0.321842
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,76,0.326561
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,77,0.263081
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,78,0.328841
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,79,0.326122
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,80,0.321801
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,81,0.263201
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,82,0.326081
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,83,0.325202
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,84,0.260681
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,85,0.328642
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,86,0.321161
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,87,0.330282
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,88,0.261361
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,89,0.261242
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,90,0.263841
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,91,0.322802
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,92,0.263401
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,93,0.324922
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,94,0.325881
gpu,1,96,122880,81920,81920,exact,2x1_128x1,2,1,128,1,95,0.263762
