nlev,variant,blocking,tile_y,cell_dist,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,3,0,0,exact,omp_for,gpu_scalar,128,1,0.464488,10.187187,6.034594,326.155178,4.731757,2.802943,0.000000,0.6000,0.4000,0.0500,4,11059200
90,2,0,0,sequential,omp_collapse2,cpu_scalar,64,1,3.124744,1834.839930,1815.413116,4028.745181,5733.404922,5672.701102,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,sequential,omp_for,cpu_scalar,64,1,0.773611,1587.365188,456.786781,49315.406500,1228.003779,353.375436,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,uniform,omp_for,gpu_scalar,128,1,0.479835,994.578991,286.772223,30418.664143,477.233372,137.600376,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,normal_var1,omp_for,cpu_scalar,64,1,0.895210,1112.795995,321.321469,45064.581752,996.184844,287.651052,0.000000,0.6000,0.4000,0.0500,4,7372800
90,4,0,0,normal_var1,omp_collapse2,gpu_scalar,128,1,6.611183,29889.484216,20400.134579,65933.995232,197604.845856,134869.020094,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,exact,omp_collapse2,cpu_scalar,64,1,1.802434,39.050035,38.771783,66.621167,70.385092,69.883554,0.000000,0.6000,0.4000,0.0500,4,11059200
90,4,0,0,sequential,omp_collapse2,cpu_scalar,64,1,6.624976,60456.669708,51440.974564,132804.449654,400523.960825,340795.200605,0.000000,0.6000,0.4000,0.0500,4,7372800
90,1,0,0,uniform,omp_for,gpu_warp32,128,32,141.650391,36.926385,36.793470,3410.056133,5230.636930,5211.809435,0.000000,0.6000,0.4000,0.0500,4,230400
90,3,0,0,sequential,omp_for,gpu_scalar,128,1,0.397917,931.212423,268.491939,16935.780978,370.545117,106.836270,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,exact,omp_collapse2,gpu_scalar,128,1,1.011410,21.418074,21.271316,30.747246,21.662448,21.514009,0.000000,0.6000,0.4000,0.0500,4,11059200
90,4,0,0,sequential,omp_collapse2,gpu_scalar,128,1,6.312476,31133.644310,21252.414304,68398.338099,196530.369611,134155.346436,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,normal_var4,omp_collapse2,cpu_avx512,64,8,52.070545,8855.485681,7536.027233,196918.280059,461109.963083,392405.042987,0.000000,0.6000,0.4000,0.0500,4,921600
90,4,0,0,uniform,omp_collapse2,gpu_scalar,128,1,7.312427,53453.179835,36488.848363,117509.847918,390872.462520,266822.031129,0.000000,0.6000,0.4000,0.0500,4,7372800
90,2,0,0,exact,omp_collapse2,cpu_avx512,64,8,10.509447,13.414258,12.736039,48.394106,140.976432,133.848627,0.000000,0.6000,0.4000,0.0500,4,1382400
90,4,0,0,normal_var4,omp_for,cpu_avx512,64,8,7.259949,5708.017899,1635.564641,93850.642005,41439.932618,11873.636766,0.000000,0.6000,0.4000,0.0500,4,901120
90,3,0,0,normal_var4,omp_collapse2,gpu_scalar,128,1,6.783777,29091.204116,19859.985504,64151.936882,197348.237004,134725.711340,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,exact,omp_collapse2,cpu_scalar,64,1,6.097404,731.793558,624.875456,2191.106943,4462.041110,3810.117551,0.000000,0.6000,0.4000,0.0500,4,11059200
90,4,0,0,uniform,omp_collapse2,cpu_avx512,64,8,60.992969,15078.198227,12831.674785,334878.028953,919664.073297,782641.939203,0.000000,0.6000,0.4000,0.0500,4,921600
90,3,0,0,sequential,omp_collapse2,gpu_warp32,128,32,201.962565,1288.063008,880.431537,107543.687687,260140.509014,177814.211642,0.000000,0.6000,0.4000,0.0500,4,230400
90,4,0,0,normal_var4,omp_for,gpu_warp32,128,32,16.766290,13995.697039,4013.026612,53203.354586,234656.112014,67281.170354,0.000000,0.6000,0.4000,0.0500,4,163840
90,4,0,0,exact,omp_for,cpu_scalar,64,1,0.901681,17.712569,10.436798,983.317011,15.971057,9.410575,0.000000,0.6000,0.4000,0.0500,4,11059200
90,4,0,0,sequential,omp_for,cpu_scalar,64,1,0.773611,1585.177840,456.137030,49309.355951,1226.311622,352.872781,0.000000,0.6000,0.4000,0.0500,4,7372800
90,3,0,0,exact,omp_collapse2,gpu_scalar,128,1,5.784904,373.726691,253.510000,1082.801647,2161.973100,1466.531015,0.000000,0.6000,0.4000,0.0500,4,11059200
