id,cv,cv_IC,ch,ch_IC,f,f_IC,s,s_IC,n,n_IN,lm,lm_IC
181,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V1,SoA,V2,h_first
182,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V1,SoA,V6,v_first
183,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V2,AoS,V1,h_first
184,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V2,AoS,V2,h_first
185,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V2,AoS,V6,v_first
186,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V6,AoS,V1,h_first
187,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V6,AoS,V2,h_first
188,V1,h_first,V6,v_first,V1,h_first,V6,v_first,V6,AoS,V6,v_first
189,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V1,SoA,V1,h_first
190,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V1,SoA,V2,h_first
191,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V1,SoA,V6,v_first
192,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V2,AoS,V1,h_first
193,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V2,AoS,V2,h_first
194,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V2,AoS,V6,v_first
195,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V6,AoS,V1,h_first
196,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V6,AoS,V2,h_first
197,V1,h_first,V6,v_first,V2,h_first,V1,h_first,V6,AoS,V6,v_first
198,V1,h_first,V6,v_first,V2,h_first,V2,h_first,V1,SoA,V1,h_first
199,V1,h_first,V6,v_first,V2,h_first,V2,h_first,V1,SoA,V2,h_first
200,V1,h_first,V6,v_first,V2,h_first,V2,h_first,V1,SoA,V6,v_first
201,V1,h_first,V6,v_first,V2,h_first,V2,h_first,V2,AoS,V1,h_first
202,V1,h_first,V6,v_first,V2,h_first,V2,h_first,V2,AoS,V2,h_first
203,V1,h_first,V6,v_first,V2,h_first,V2,h_first,V2,AoS,V6,v_first
204,V1,h_first,V6,v_first,V2,h_first,V2,h_first,V6,AoS,V1,h_first
205,V1,h_first,V6,v_first,V2,h_first,V2,h_first,V6,AoS,V2,h_first
206,V1,h_first,V6,v_first,V2,h_first,V2,h_first,V6,AoS,V6,v_first
207,V1,h_first,V6,v_first,V2,h_first,V6,v_first,V1,SoA,V1,h_first
208,V1,h_first,V6,v_first,V2,h_first,V6,v_first,V1,SoA,V2,h_first
209,V1,h_first,V6,v_first,V2,h_first,V6,v_first,V1,SoA,V6,v_first
210,V1,h_first,V6,v_first,V2,h_first,V6,v_first,V2,AoS,V1,h_first
211,V1,h_first,V6,v_first,V2,h_first,V6,v_first,V2,AoS,V2,h_first
212,V1,h_first,V6,v_first,V2,h_first,V6,v_first,V2,AoS,V6,v_first
